running binary-insertion, n=128, pending=1000, complete=0
running bitonic-network, n=128, pending=1000, complete=0
running bubble, n=128, pending=1000, complete=0
running heap, n=128, pending=1000, complete=0
running insertion, n=128, pending=1000, complete=0
running merge-bottom-up, n=128, pending=1000, complete=0
running merge-insertion, n=128, pending=1000, complete=0
running merge-top-down, n=128, pending=1000, complete=0
running quick, n=128, pending=1000, complete=0
running quick-dual-pivot, n=128, pending=1000, complete=0
running quick-median-three, n=128, pending=1000, complete=0
running selection, n=128, pending=1000, complete=0
running shell, n=128, pending=1000, complete=0
running introsort, n=128, pending=1000, complete=0
running tournament, n=128, pending=1000, complete=0
running tree-unbalanced, n=128, pending=1000, complete=0
running tree-avl, n=128, pending=1000, complete=0
running quick-random, n=128, pending=1000, complete=0
running odd-even-merge-network, n=128, pending=1000, complete=0
running binary-insertion, n=256, pending=1000, complete=0
running bitonic-network, n=256, pending=1000, complete=0
running bubble, n=256, pending=1000, complete=0
running heap, n=256, pending=1000, complete=0
running insertion, n=256, pending=1000, complete=0
running merge-bottom-up, n=256, pending=1000, complete=0
running merge-insertion, n=256, pending=1000, complete=0
running merge-top-down, n=256, pending=1000, complete=0
running quick, n=256, pending=1000, complete=0
running quick-dual-pivot, n=256, pending=1000, complete=0
running quick-median-three, n=256, pending=1000, complete=0
running selection, n=256, pending=1000, complete=0
running shell, n=256, pending=1000, complete=0
running introsort, n=256, pending=1000, complete=0
running tournament, n=256, pending=1000, complete=0
running tree-unbalanced, n=256, pending=1000, complete=0
running tree-avl, n=256, pending=1000, complete=0
running quick-random, n=256, pending=1000, complete=0
running odd-even-merge-network, n=256, pending=1000, complete=0
running binary-insertion, n=512, pending=1000, complete=0
running bitonic-network, n=512, pending=1000, complete=0
running bubble, n=512, pending=1000, complete=0
running heap, n=512, pending=1000, complete=0
running insertion, n=512, pending=1000, complete=0
running merge-bottom-up, n=512, pending=1000, complete=0
running merge-insertion, n=512, pending=1000, complete=0
running merge-top-down, n=512, pending=1000, complete=0
running quick, n=512, pending=1000, complete=0
running quick-dual-pivot, n=512, pending=1000, complete=0
running quick-median-three, n=512, pending=1000, complete=0
running selection, n=512, pending=1000, complete=0
running shell, n=512, pending=1000, complete=0
running introsort, n=512, pending=1000, complete=0
running tournament, n=512, pending=1000, complete=0
running tree-unbalanced, n=512, pending=1000, complete=0
running tree-avl, n=512, pending=1000, complete=0
running quick-random, n=512, pending=1000, complete=0
running odd-even-merge-network, n=512, pending=1000, complete=0
running binary-insertion, n=1024, pending=1000, complete=0
running bitonic-network, n=1024, pending=1000, complete=0
running bubble, n=1024, pending=1000, complete=0
running heap, n=1024, pending=1000, complete=0
running insertion, n=1024, pending=1000, complete=0
running merge-bottom-up, n=1024, pending=1000, complete=0
running merge-insertion, n=1024, pending=1000, complete=0
running merge-top-down, n=1024, pending=1000, complete=0
running quick, n=1024, pending=1000, complete=0
running quick-dual-pivot, n=1024, pending=1000, complete=0
running quick-median-three, n=1024, pending=1000, complete=0
running selection, n=1024, pending=1000, complete=0
running shell, n=1024, pending=1000, complete=0
running introsort, n=1024, pending=1000, complete=0
running tournament, n=1024, pending=1000, complete=0
running tree-unbalanced, n=1024, pending=1000, complete=0
running tree-avl, n=1024, pending=1000, complete=0
running quick-random, n=1024, pending=1000, complete=0
running odd-even-merge-network, n=1024, pending=1000, complete=0
running binary-insertion, n=2048, pending=1000, complete=0
running bitonic-network, n=2048, pending=1000, complete=0
running bubble, n=2048, pending=1000, complete=0
running heap, n=2048, pending=1000, complete=0
running insertion, n=2048, pending=1000, complete=0
running merge-bottom-up, n=2048, pending=1000, complete=0
running merge-insertion, n=2048, pending=1000, complete=0
running merge-top-down, n=2048, pending=1000, complete=0
running quick, n=2048, pending=1000, complete=0
running quick-dual-pivot, n=2048, pending=1000, complete=0
running quick-median-three, n=2048, pending=1000, complete=0
running selection, n=2048, pending=1000, complete=0
running shell, n=2048, pending=1000, complete=0
running introsort, n=2048, pending=1000, complete=0
running tournament, n=2048, pending=1000, complete=0
running tree-unbalanced, n=2048, pending=1000, complete=0
running tree-avl, n=2048, pending=1000, complete=0
running quick-random, n=2048, pending=1000, complete=0
running odd-even-merge-network, n=2048, pending=1000, complete=0
running binary-insertion, n=4096, pending=1000, complete=0
running bitonic-network, n=4096, pending=1000, complete=0
running bubble, n=4096, pending=1000, complete=0
running heap, n=4096, pending=1000, complete=0
running insertion, n=4096, pending=1000, complete=0
running merge-bottom-up, n=4096, pending=1000, complete=0
running merge-insertion, n=4096, pending=1000, complete=0
running merge-top-down, n=4096, pending=1000, complete=0
running quick, n=4096, pending=1000, complete=0
running quick-dual-pivot, n=4096, pending=1000, complete=0
running quick-median-three, n=4096, pending=1000, complete=0
running selection, n=4096, pending=1000, complete=0
running shell, n=4096, pending=1000, complete=0
running introsort, n=4096, pending=1000, complete=0
running tournament, n=4096, pending=1000, complete=0
running tree-unbalanced, n=4096, pending=1000, complete=0
running tree-avl, n=4096, pending=1000, complete=0
running quick-random, n=4096, pending=1000, complete=0
running odd-even-merge-network, n=4096, pending=1000, complete=0
wrote data/results/batch-paper-final-19-algorithms-runs.jsonl.gz
wrote data/results/batch-paper-final-19-algorithms-summary.csv
