algorithm,n,seed,comparison_count,degree_gini,degree_p80_fraction,degree_normalized_entropy,maximum_degree_share,strength_gini,strength_p80_fraction,strength_normalized_entropy,maximum_strength_share,progress_fraction
tree-unbalanced,128,1,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0009970089730807576
tree-unbalanced,128,1,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.0019940179461615153
tree-unbalanced,128,1,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.003988035892323031
tree-unbalanced,128,1,8,0.9658203125,0.03125,0.32580558031850954,0.25,0.9658203125,0.03125,0.32580558031850954,0.25,0.007976071784646061
tree-unbalanced,128,1,16,0.95361328125,0.0390625,0.3917909332253237,0.1875,0.95361328125,0.0390625,0.3917909332253237,0.1875,0.015952143569292122
tree-unbalanced,128,1,32,0.93408203125,0.0625,0.4759078777759195,0.15625,0.93408203125,0.0625,0.4759078777759195,0.15625,0.031904287138584245
tree-unbalanced,128,1,64,0.9073486328125,0.0859375,0.548928225577795,0.1171875,0.9073486328125,0.0859375,0.548928225577795,0.1171875,0.06380857427716849
tree-unbalanced,128,1,128,0.862060546875,0.125,0.6368169663076332,0.1015625,0.862060546875,0.125,0.6368169663076332,0.1015625,0.12761714855433698
tree-unbalanced,128,1,256,0.7808837890625,0.2109375,0.7306751248797351,0.0859375,0.7808837890625,0.2109375,0.7306751248797351,0.0859375,0.25523429710867396
tree-unbalanced,128,1,512,0.6385955810546875,0.3515625,0.8271476758281628,0.07421875,0.6385955810546875,0.3515625,0.8271476758281628,0.07421875,0.5104685942173479
tree-unbalanced,128,1,1003,0.4071301719840479,0.5859375,0.9185147973622851,0.06331006979062812,0.4071301719840479,0.5859375,0.9185147973622851,0.06331006979062812,1.0
tree-unbalanced,128,2,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0011668611435239206
tree-unbalanced,128,2,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.002333722287047841
tree-unbalanced,128,2,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.004667444574095682
tree-unbalanced,128,2,8,0.9619140625,0.0390625,0.35388814306606897,0.3125,0.9619140625,0.0390625,0.35388814306606897,0.3125,0.009334889148191364
tree-unbalanced,128,2,16,0.951171875,0.046875,0.4123854781007129,0.21875,0.951171875,0.046875,0.4123854781007129,0.21875,0.01866977829638273
tree-unbalanced,128,2,32,0.9267578125,0.0703125,0.49584774513876206,0.171875,0.9267578125,0.0703125,0.49584774513876206,0.171875,0.03733955659276546
tree-unbalanced,128,2,64,0.8865966796875,0.1015625,0.5861954672341128,0.140625,0.8865966796875,0.1015625,0.5861954672341128,0.140625,0.07467911318553092
tree-unbalanced,128,2,128,0.83172607421875,0.15625,0.67340808787001,0.1171875,0.83172607421875,0.15625,0.67340808787001,0.1171875,0.14935822637106183
tree-unbalanced,128,2,256,0.726898193359375,0.2578125,0.7680224705943741,0.1015625,0.726898193359375,0.2578125,0.7680224705943741,0.1015625,0.29871645274212366
tree-unbalanced,128,2,512,0.55548095703125,0.4296875,0.8644364399974928,0.0849609375,0.55548095703125,0.4296875,0.8644364399974928,0.0849609375,0.5974329054842473
tree-unbalanced,128,2,857,0.3585636668611436,0.625,0.9371072527655524,0.07409568261376896,0.3585636668611436,0.625,0.9371072527655524,0.07409568261376896,1.0
tree-unbalanced,128,3,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0011376564277588168
tree-unbalanced,128,3,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.0022753128555176336
tree-unbalanced,128,3,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.004550625711035267
tree-unbalanced,128,3,8,0.9658203125,0.03125,0.32580558031850954,0.25,0.9658203125,0.03125,0.32580558031850954,0.25,0.009101251422070534
tree-unbalanced,128,3,16,0.95166015625,0.046875,0.40927446911848064,0.21875,0.95166015625,0.046875,0.40927446911848064,0.21875,0.01820250284414107
tree-unbalanced,128,3,32,0.931640625,0.0625,0.4905602414295356,0.1875,0.931640625,0.0625,0.4905602414295356,0.1875,0.03640500568828214
